id,name,Mike Rogers
231086000001,"City of Bronson, Precinct 1",99
231702001001,"City of Coldwater, Precinct 1",62
231702002001,"City of Coldwater, Precinct 2",103
231702003001,"City of Coldwater, Precinct 3",131
231702004001,"City of Coldwater, Precinct 4",65
230112000001,"Algansee Township, Precinct 1",246
230580000001,"Batavia Township, Precinct 1",149
230806000001,"Bethel Township, Precinct 1",143
231088000001,"Bronson Township, Precinct 1",140
231214000001,"Butler Township, Precinct 1",127
231256000001,"California Township, Precinct 1",74
231704000001,"Coldwater Township, Precinct 1",242
233212000001,"Gilead Township, Precinct 1",53
233228000001,"Girard Township, Precinct 1",269
234326000001,"Kinderhook Township, Precinct 1",227
235240000001,"Matteson Township, Precinct 1",140
235786000001,"Noble Township, Precinct 1",61
236184000001,"Ovid Township, Precinct 1",395
236666000001,"Quincy Township, Precinct 1",438
237344000001,"Sherwood Township, Precinct 1",189
238128000001,"Union Township, Precinct 1",301
