id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
231086000001,"City of Bronson, Precinct 1",56,4,46
231702001001,"City of Coldwater, Precinct 1",135,3,34
231702002001,"City of Coldwater, Precinct 2",92,11,109
231702003001,"City of Coldwater, Precinct 3",159,26,132
231702004001,"City of Coldwater, Precinct 4",101,10,67
230112000001,"Algansee Township, Precinct 1",41,14,53
230580000001,"Batavia Township, Precinct 1",37,3,54
230806000001,"Bethel Township, Precinct 1",12,2,49
231088000001,"Bronson Township, Precinct 1",20,4,53
231214000001,"Butler Township, Precinct 1",24,3,39
231256000001,"California Township, Precinct 1",5,0,16
231704000001,"Coldwater Township, Precinct 1",116,11,147
233212000001,"Gilead Township, Precinct 1",9,1,30
233228000001,"Girard Township, Precinct 1",64,8,93
234326000001,"Kinderhook Township, Precinct 1",41,5,91
235240000001,"Matteson Township, Precinct 1",33,6,79
235786000001,"Noble Township, Precinct 1",11,3,9
236184000001,"Ovid Township, Precinct 1",81,18,145
236666000001,"Quincy Township, Precinct 1",124,11,137
237344000001,"Sherwood Township, Precinct 1",55,7,79
238128000001,"Union Township, Precinct 1",91,6,124
