id,name,Tim Walberg
231086000001,"City of Bronson, Precinct 1",97
231702001001,"City of Coldwater, Precinct 1",63
231702002001,"City of Coldwater, Precinct 2",96
231702003001,"City of Coldwater, Precinct 3",130
231702004001,"City of Coldwater, Precinct 4",65
230112000001,"Algansee Township, Precinct 1",242
230580000001,"Batavia Township, Precinct 1",148
230806000001,"Bethel Township, Precinct 1",138
231088000001,"Bronson Township, Precinct 1",142
231214000001,"Butler Township, Precinct 1",126
231256000001,"California Township, Precinct 1",73
231704000001,"Coldwater Township, Precinct 1",234
233212000001,"Gilead Township, Precinct 1",52
233228000001,"Girard Township, Precinct 1",271
234326000001,"Kinderhook Township, Precinct 1",222
235240000001,"Matteson Township, Precinct 1",141
235786000001,"Noble Township, Precinct 1",58
236184000001,"Ovid Township, Precinct 1",391
236666000001,"Quincy Township, Precinct 1",435
237344000001,"Sherwood Township, Precinct 1",190
238128000001,"Union Township, Precinct 1",299
