id,name,Jocelyn Benson,Christopher Robert Swanson
231086000001,"City of Bronson, Precinct 1",91,14
231702001001,"City of Coldwater, Precinct 1",115,40
231702002001,"City of Coldwater, Precinct 2",174,28
231702003001,"City of Coldwater, Precinct 3",278,32
231702004001,"City of Coldwater, Precinct 4",147,29
230112000001,"Algansee Township, Precinct 1",89,19
230580000001,"Batavia Township, Precinct 1",84,10
230806000001,"Bethel Township, Precinct 1",54,9
231088000001,"Bronson Township, Precinct 1",61,18
231214000001,"Butler Township, Precinct 1",56,9
231256000001,"California Township, Precinct 1",19,1
231704000001,"Coldwater Township, Precinct 1",237,37
233212000001,"Gilead Township, Precinct 1",35,4
233228000001,"Girard Township, Precinct 1",134,23
234326000001,"Kinderhook Township, Precinct 1",121,14
235240000001,"Matteson Township, Precinct 1",103,14
235786000001,"Noble Township, Precinct 1",18,5
236184000001,"Ovid Township, Precinct 1",213,28
236666000001,"Quincy Township, Precinct 1",221,53
237344000001,"Sherwood Township, Precinct 1",126,12
238128000001,"Union Township, Precinct 1",188,29
