id,name,Tim Walberg
231086000001,"City of Bronson, Precinct 1",100
231702001001,"City of Coldwater, Precinct 1",129
231702002001,"City of Coldwater, Precinct 2",206
231702003001,"City of Coldwater, Precinct 3",317
231702004001,"City of Coldwater, Precinct 4",141
230112000001,"Algansee Township, Precinct 1",253
230580000001,"Batavia Township, Precinct 1",152
230806000001,"Bethel Township, Precinct 1",150
231088000001,"Bronson Township, Precinct 1",148
231214000001,"Butler Township, Precinct 1",136
231256000001,"California Township, Precinct 1",74
231704000001,"Coldwater Township, Precinct 1",531
233212000001,"Gilead Township, Precinct 1",53
233228000001,"Girard Township, Precinct 1",278
234326000001,"Kinderhook Township, Precinct 1",228
235240000001,"Matteson Township, Precinct 1",144
235786000001,"Noble Township, Precinct 1",58
236184000001,"Ovid Township, Precinct 1",414
236666000001,"Quincy Township, Precinct 1",458
237344000001,"Sherwood Township, Precinct 1",193
238128000001,"Union Township, Precinct 1",301
