id,name,Christian Vukasovich
231086000001,"City of Bronson, Precinct 1",89
231702001001,"City of Coldwater, Precinct 1",127
231702002001,"City of Coldwater, Precinct 2",189
231702003001,"City of Coldwater, Precinct 3",278
231702004001,"City of Coldwater, Precinct 4",156
230112000001,"Algansee Township, Precinct 1",96
230580000001,"Batavia Township, Precinct 1",78
230806000001,"Bethel Township, Precinct 1",59
231088000001,"Bronson Township, Precinct 1",65
231214000001,"Butler Township, Precinct 1",62
231256000001,"California Township, Precinct 1",18
231704000001,"Coldwater Township, Precinct 1",237
233212000001,"Gilead Township, Precinct 1",32
233228000001,"Girard Township, Precinct 1",137
234326000001,"Kinderhook Township, Precinct 1",114
235240000001,"Matteson Township, Precinct 1",98
235786000001,"Noble Township, Precinct 1",21
236184000001,"Ovid Township, Precinct 1",220
236666000001,"Quincy Township, Precinct 1",253
237344000001,"Sherwood Township, Precinct 1",125
238128000001,"Union Township, Precinct 1",184
