id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt
231086000001,"City of Bronson, Precinct 1",2,2,0,0
231702001001,"City of Coldwater, Precinct 1",1,7,2,0
231702002001,"City of Coldwater, Precinct 2",0,2,0,0
231702003001,"City of Coldwater, Precinct 3",2,12,10,0
231702004001,"City of Coldwater, Precinct 4",1,6,3,0
230112000001,"Algansee Township, Precinct 1",1,8,2,0
230580000001,"Batavia Township, Precinct 1",1,0,2,1
230806000001,"Bethel Township, Precinct 1",1,7,5,0
231088000001,"Bronson Township, Precinct 1",0,3,3,0
231214000001,"Butler Township, Precinct 1",1,4,5,0
231256000001,"California Township, Precinct 1",1,0,0,0
231704000001,"Coldwater Township, Precinct 1",5,42,12,1
233212000001,"Gilead Township, Precinct 1",0,1,0,0
233228000001,"Girard Township, Precinct 1",1,5,1,0
234326000001,"Kinderhook Township, Precinct 1",1,5,2,0
235240000001,"Matteson Township, Precinct 1",1,1,1,0
235786000001,"Noble Township, Precinct 1",0,0,0,0
236184000001,"Ovid Township, Precinct 1",3,12,7,2
236666000001,"Quincy Township, Precinct 1",3,16,7,0
237344000001,"Sherwood Township, Precinct 1",0,2,1,0
238128000001,"Union Township, Precinct 1",0,1,1,0
