id,name,Christian Vukasovich
231086000001,"City of Bronson, Precinct 1",86
231702001001,"City of Coldwater, Precinct 1",66
231702002001,"City of Coldwater, Precinct 2",66
231702003001,"City of Coldwater, Precinct 3",75
231702004001,"City of Coldwater, Precinct 4",63
230112000001,"Algansee Township, Precinct 1",92
230580000001,"Batavia Township, Precinct 1",73
230806000001,"Bethel Township, Precinct 1",56
231088000001,"Bronson Township, Precinct 1",64
231214000001,"Butler Township, Precinct 1",60
231256000001,"California Township, Precinct 1",18
231704000001,"Coldwater Township, Precinct 1",66
233212000001,"Gilead Township, Precinct 1",32
233228000001,"Girard Township, Precinct 1",130
234326000001,"Kinderhook Township, Precinct 1",104
235240000001,"Matteson Township, Precinct 1",93
235786000001,"Noble Township, Precinct 1",18
236184000001,"Ovid Township, Precinct 1",211
236666000001,"Quincy Township, Precinct 1",242
237344000001,"Sherwood Township, Precinct 1",123
238128000001,"Union Township, Precinct 1",176
