id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson,WI
470638000001,"Bear Creek Township, Precinct 1",539,,,0,492,45,2
470638000002,"Bear Creek Township, Precinct 2",543,,,0,467,76,0
470898000001,"Bliss Township, Precinct 1",107,,,0,80,27,0
471350000001,"Carp Lake Township, Precinct 1",99,,,0,79,20,0
471430000001,"Center Township, Precinct 1",85,,,0,68,17,0
471890000001,"Cross Village Township, Precinct 1",73,,,0,66,7,0
473086000001,"Friendship Township, Precinct 1",173,,,0,157,14,2
473656000001,"City of Harbor Springs, Precinct 1",261,,,0,231,30,0
474808000001,"Little Traverse Township, Precinct 1",443,,,0,380,60,3
474802000001,"Littlefield Township, Precinct 1",360,,,0,305,55,0
475128000001,"Maple River Township, Precinct 1",133,,,0,123,10,0
475034000001,"McKinley Township, Precinct 1",104,,,0,90,13,1
476382001001,"City of Petoskey, Ward 1, Precinct 1",254,,,0,235,18,1
476382002002,"City of Petoskey, Ward 2, Precinct 1",357,,,0,310,47,0
476382003003,"City of Petoskey, Ward 3, Precinct 1",320,,,0,279,41,0
476382004004,"City of Petoskey, Ward 4, Precinct 1",272,,,0,222,50,0
476496000001,"Pleasantview Township, Precinct 1",151,,,0,122,28,1
476754000001,"Readmond Township, Precinct 1",136,,,0,118,16,2
476806000001,"Resort Township, Precinct 1",533,,,0,473,60,0
477590000001,"Springvale Township, Precinct 1",309,,,0,272,35,2
478484000001,"Wawatam Township, Precinct 1",106,,,0,93,11,2
478630000001,"West Traverse Township, Precinct 1",387,,,0,353,34,0
