id,name,total,over_votes,under_votes,Write-in,Callie Barr,Kyle Blomquist,Wayne Stiles,WI
470638000001,"Bear Creek Township, Precinct 1",534,,,0,341,167,25,1
470638000002,"Bear Creek Township, Precinct 2",530,,,0,302,197,30,1
470898000001,"Bliss Township, Precinct 1",100,,,0,61,28,9,2
471350000001,"Carp Lake Township, Precinct 1",102,,,0,65,32,5,0
471430000001,"Center Township, Precinct 1",84,,,0,45,34,5,0
471890000001,"Cross Village Township, Precinct 1",68,,,0,42,22,4,0
473086000001,"Friendship Township, Precinct 1",174,,,0,116,52,6,0
473656000001,"City of Harbor Springs, Precinct 1",258,,,0,190,48,20,0
474808000001,"Little Traverse Township, Precinct 1",428,,,0,291,113,22,2
474802000001,"Littlefield Township, Precinct 1",350,,,0,230,100,20,0
475128000001,"Maple River Township, Precinct 1",133,,,0,90,33,10,0
475034000001,"McKinley Township, Precinct 1",103,,,0,62,30,11,0
476382001001,"City of Petoskey, Ward 1, Precinct 1",258,,,0,169,82,7,0
476382002002,"City of Petoskey, Ward 2, Precinct 1",355,,,0,188,161,6,0
476382003003,"City of Petoskey, Ward 3, Precinct 1",315,,,0,202,93,19,1
476382004004,"City of Petoskey, Ward 4, Precinct 1",271,,,0,132,134,5,0
476496000001,"Pleasantview Township, Precinct 1",146,,,0,93,45,7,1
476754000001,"Readmond Township, Precinct 1",130,,,0,76,40,13,1
476806000001,"Resort Township, Precinct 1",520,,,0,366,140,14,0
477590000001,"Springvale Township, Precinct 1",302,,,0,179,109,12,2
478484000001,"Wawatam Township, Precinct 1",103,,,0,73,24,5,1
478630000001,"West Traverse Township, Precinct 1",374,,,0,276,75,22,1
