id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,WI
470638000001,"Bear Creek Township, Precinct 1",547,,,0,312,25,210,0
470638000002,"Bear Creek Township, Precinct 2",546,,,0,288,41,217,0
470898000001,"Bliss Township, Precinct 1",105,,,0,52,4,49,0
471350000001,"Carp Lake Township, Precinct 1",103,,,0,50,6,46,1
471430000001,"Center Township, Precinct 1",85,,,0,54,4,27,0
471890000001,"Cross Village Township, Precinct 1",77,,,0,47,5,25,0
473086000001,"Friendship Township, Precinct 1",177,,,0,99,5,72,1
473656000001,"City of Harbor Springs, Precinct 1",265,,,0,124,13,128,0
474808000001,"Little Traverse Township, Precinct 1",441,,,0,227,28,185,1
474802000001,"Littlefield Township, Precinct 1",365,,,0,194,11,160,0
475128000001,"Maple River Township, Precinct 1",133,,,0,71,11,51,0
475034000001,"McKinley Township, Precinct 1",107,,,0,52,7,48,0
476382001001,"City of Petoskey, Ward 1, Precinct 1",258,,,0,152,13,93,0
476382002002,"City of Petoskey, Ward 2, Precinct 1",361,,,0,229,20,112,0
476382003003,"City of Petoskey, Ward 3, Precinct 1",325,,,0,155,23,147,0
476382004004,"City of Petoskey, Ward 4, Precinct 1",278,,,0,207,8,63,0
476496000001,"Pleasantview Township, Precinct 1",155,,,0,79,7,68,1
476754000001,"Readmond Township, Precinct 1",138,,,0,73,1,64,0
476806000001,"Resort Township, Precinct 1",543,,,0,262,23,258,0
477590000001,"Springvale Township, Precinct 1",313,,,0,152,17,144,0
478484000001,"Wawatam Township, Precinct 1",108,,,0,47,5,55,1
478630000001,"West Traverse Township, Precinct 1",390,,,0,162,42,186,0
