id,name,Diop Harris II,Sean McCann,Write-in
210752001001,"City of Benton Harbor, Ward 1, Precinct 1",119,108,2
210752002001,"City of Benton Harbor, Ward 2, Precinct 2",36,64,1
210752003001,"City of Benton Harbor, Ward 3, Precinct 3",127,121,1
210752004001,"City of Benton Harbor, Ward 4, Precinct 4",77,79,0
211732000001,"City of Coloma, Precinct 1",42,81,0
217096000001,"City of St. Joseph, Precinct 1",266,334,0
217096000002,"City of St. Joseph, Precinct 2",271,307,0
217096000003,"City of St. Joseph, Precinct 3",203,223,1
218450000001,"City of Watervliet, Precinct 1",68,78,0
210484000001,"Bainbridge Township, Precinct 1",58,128,0
210740000001,"Benton Charter Township, Precinct 1",119,148,1
210740000002,"Benton Charter Township, Precinct 2",71,95,1
210740000003,"Benton Charter Township, Precinct 3",111,102,2
210740000004,"Benton Charter Township, Precinct 4",90,162,1
210740000005,"Benton Charter Township, Precinct 5",104,126,1
210740000006,"Benton Charter Township, Precinct 6",127,167,3
211734000001,"Coloma Charter Township, Precinct 1",148,262,2
213586000001,"Hagar Township, Precinct 1",120,220,0
214760000003,"Lincoln Charter Township, Precinct 3",42,45,1
217010000001,"Royalton Township, Precinct 1",11,20,0
217098000001,"St. Joseph Charter Township, Precinct 1",257,363,4
217098000002,"St. Joseph Charter Township, Precinct 2",131,250,1
217098000003,"St. Joseph Charter Township, Precinct 3",117,183,2
217098000004,"St. Joseph Charter Township, Precinct 4",192,355,1
218452000001,"Watervliet Charter Township, Precinct 1",71,135,0
