id,name,Bill Huizenga,Philip Tanis,Write-in
210752001001,"City of Benton Harbor, Ward 1, Precinct 1",9,1,0
210752002001,"City of Benton Harbor, Ward 2, Precinct 2",6,0,1
210752003001,"City of Benton Harbor, Ward 3, Precinct 3",3,3,0
210752004001,"City of Benton Harbor, Ward 4, Precinct 4",3,0,0
211732000001,"City of Coloma, Precinct 1",162,22,0
217096000001,"City of St. Joseph, Precinct 1",139,12,0
217096000002,"City of St. Joseph, Precinct 2",134,24,0
217096000003,"City of St. Joseph, Precinct 3",102,16,1
218450000001,"City of Watervliet, Precinct 1",128,21,1
210484000001,"Bainbridge Township, Precinct 1",385,67,0
210740000001,"Benton Charter Township, Precinct 1",54,13,0
210740000002,"Benton Charter Township, Precinct 2",18,7,0
210740000003,"Benton Charter Township, Precinct 3",24,7,0
210740000004,"Benton Charter Township, Precinct 4",97,9,1
210740000005,"Benton Charter Township, Precinct 5",44,5,0
210740000006,"Benton Charter Township, Precinct 6",8,2,0
211734000001,"Coloma Charter Township, Precinct 1",343,37,2
213586000001,"Hagar Township, Precinct 1",220,41,0
214760000003,"Lincoln Charter Township, Precinct 3",20,3,0
217010000001,"Royalton Township, Precinct 1",14,3,0
217098000001,"St. Joseph Charter Township, Precinct 1",103,9,0
217098000002,"St. Joseph Charter Township, Precinct 2",143,17,0
217098000003,"St. Joseph Charter Township, Precinct 3",118,10,0
217098000004,"St. Joseph Charter Township, Precinct 4",180,27,0
218452000001,"Watervliet Charter Township, Precinct 1",326,45,0
