id,name,Diop Harris II,Sean McCann,Write-in
210752001001,"City of Benton Harbor, Ward 1, Precinct 1",77,68,0
210752002001,"City of Benton Harbor, Ward 2, Precinct 2",21,45,1
210752003001,"City of Benton Harbor, Ward 3, Precinct 3",81,87,0
210752004001,"City of Benton Harbor, Ward 4, Precinct 4",39,50,0
211732000001,"City of Coloma, Precinct 1",0,0,0
217096000001,"City of St. Joseph, Precinct 1",114,225,0
217096000002,"City of St. Joseph, Precinct 2",110,172,0
217096000003,"City of St. Joseph, Precinct 3",75,134,0
218450000001,"City of Watervliet, Precinct 1",0,0,0
210484000001,"Bainbridge Township, Precinct 1",0,0,0
210740000001,"Benton Charter Township, Precinct 1",65,91,1
210740000002,"Benton Charter Township, Precinct 2",30,50,0
210740000003,"Benton Charter Township, Precinct 3",59,68,0
210740000004,"Benton Charter Township, Precinct 4",41,107,1
210740000005,"Benton Charter Township, Precinct 5",54,88,0
210740000006,"Benton Charter Township, Precinct 6",84,111,2
211734000001,"Coloma Charter Township, Precinct 1",79,170,1
213586000001,"Hagar Township, Precinct 1",48,141,0
214760000003,"Lincoln Charter Township, Precinct 3",30,34,0
217010000001,"Royalton Township, Precinct 1",5,13,0
217098000001,"St. Joseph Charter Township, Precinct 1",144,243,1
217098000002,"St. Joseph Charter Township, Precinct 2",72,158,0
217098000003,"St. Joseph Charter Township, Precinct 3",48,129,0
217098000004,"St. Joseph Charter Township, Precinct 4",102,252,0
218452000001,"Watervliet Charter Township, Precinct 1",0,0,0
