id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
35620000001,"City of Munising, Precinct 1",,1698,553,0,0,308,32.57,165,33,110
autrain-township-precinct-1,"AuTrain Township, Precinct 1",,1114,421,0,0,168,37.79,95,14,59
31196000001,"Burt Township, Precinct 1",,453,240,0,0,104,52.98,59,8,37
33338000001,"Grand Island Township, Precinct 1",,29,17,0,0,13,58.62,9,2,2
34754000001,"Limestone Township, Precinct 1",,397,126,0,0,69,31.74,31,9,29
35236000001,"Mathias Township, Precinct 1",,479,139,0,0,80,29.02,46,5,29
35622000001,"Munising Township, Precinct 1",,1022,644,0,0,248,63.01,115,27,106
36082000001,"Onota Township, Precinct 1",,415,186,0,0,98,44.82,52,7,39
36916000001,"Rock River Township, Precinct 1",,1167,320,0,0,148,27.42,80,6,62
