name,Jocelyn Benson,Christopher Robert Swanson,Write-in
"City of Imlay City, Precinct 1",80,19,0
"City of Imlay City, Precinct 2",126,41,1
"City of Lapeer, Precinct 1",384,134,2
"City of Lapeer, Precinct 2",255,120,4
"Almont Township, Precinct 1",215,56,2
"Almont Township, Precinct 2",357,79,2
"Arcadia Township, Precinct 1",192,69,0
"Attica Township, Precinct 1",137,41,2
"Attica Township, Precinct 2",168,61,0
"Burlington Township, Precinct 1",50,34,0
"Burnside Township, Precinct 1",67,22,0
"Deerfield Township, Precinct 1",169,75,2
"Deerfield Township, Precinct 2",191,97,1
"Dryden Township, Precinct 1",406,90,3
"Elba Township, Precinct 1",104,62,0
"Elba Township, Precinct 2",178,84,1
"Elba Township, Precinct 3",151,56,0
"Goodland Township, Precinct 1",103,20,0
"Hadley Township, Precinct 1",455,165,0
"Imlay Township, Precinct 1",152,63,2
"Lapeer Township, Precinct 1",182,53,0
"Lapeer Township, Precinct 2",230,91,1
"Marathon Township, Precinct 1",317,156,1
"Mayfield Township, Precinct 1",225,88,0
"Mayfield Township, Precinct 2",165,74,0
"Mayfield Township, Precinct 3",226,85,0
"Metamora Township, Precinct 1",230,81,0
"Metamora Township, Precinct 2",207,57,0
"North Branch Township, Precinct 1",178,83,0
"Oregon Township, Precinct 1",244,112,1
"Oregon Township, Precinct 2",282,134,0
"Rich Township, Precinct 1",58,30,0
