name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"City of Imlay City, Precinct 1",19,44,38,2,0
"City of Imlay City, Precinct 2",20,92,82,2,1
"City of Lapeer, Precinct 1",78,236,188,5,1
"City of Lapeer, Precinct 2",40,131,106,6,2
"Almont Township, Precinct 1",58,214,211,3,1
"Almont Township, Precinct 2",73,370,234,2,1
"Arcadia Township, Precinct 1",63,232,266,19,1
"Attica Township, Precinct 1",52,198,156,10,1
"Attica Township, Precinct 2",55,207,170,6,1
"Burlington Township, Precinct 1",22,102,85,3,3
"Burnside Township, Precinct 1",38,106,132,7,2
"Deerfield Township, Precinct 1",63,180,167,8,0
"Deerfield Township, Precinct 2",61,175,172,4,0
"Dryden Township, Precinct 1",106,444,390,16,3
"Elba Township, Precinct 1",30,89,64,1,2
"Elba Township, Precinct 2",41,121,116,5,1
"Elba Township, Precinct 3",47,190,163,2,0
"Goodland Township, Precinct 1",39,155,133,6,2
"Hadley Township, Precinct 1",98,440,387,9,2
"Imlay Township, Precinct 1",60,222,204,12,0
"Lapeer Township, Precinct 1",37,159,137,3,0
"Lapeer Township, Precinct 2",55,271,175,6,1
"Marathon Township, Precinct 1",81,227,220,7,2
"Mayfield Township, Precinct 1",60,216,151,5,0
"Mayfield Township, Precinct 2",55,167,86,6,0
"Mayfield Township, Precinct 3",42,216,150,3,2
"Metamora Township, Precinct 1",75,256,154,11,0
"Metamora Township, Precinct 2",43,181,150,5,1
"North Branch Township, Precinct 1",71,233,163,8,1
"Oregon Township, Precinct 1",51,227,174,5,1
"Oregon Township, Precinct 2",50,211,144,3,0
"Rich Township, Precinct 1",28,127,74,4,0
