id,name,board,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
754142001001,"City of Jackson, Ward 1, Precinct 1",,24,32,19,3,0,4031,615,0,0,78,15.26
754142002002,"City of Jackson, Ward 2, Precinct 2",,8,8,6,0,0,959,120,0,0,22,12.51
754142002003,"City of Jackson, Ward 2, Precinct 3",,21,60,54,3,1,3049,402,0,0,139,13.18
754142003004,"City of Jackson, Ward 3, Precinct 4",,15,53,49,2,0,1911,360,0,0,119,18.84
754142003005,"City of Jackson, Ward 3, Precinct 5",,33,63,38,3,1,2254,433,0,0,138,19.21
754142004006,"City of Jackson, Ward 4, Precinct 6",,21,68,47,3,0,2114,445,0,0,139,21.05
754142004007,"City of Jackson, Ward 4, Precinct 7",,13,43,49,3,0,2069,298,0,0,108,14.4
754142005008,"City of Jackson, Ward 5, Precinct 8",,29,84,51,5,1,4256,673,0,0,170,15.81
754142006009,"City of Jackson, Ward 6, Precinct 9",,54,174,78,3,0,2719,920,0,0,309,33.84
754142006010,"City of Jackson, Ward 6, Precinct 10",,21,103,58,2,0,1634,586,0,0,184,35.86
750876000001,"Blackman Charter Township, Precinct 1",,31,97,79,2,0,2738,479,0,0,209,17.49
750876000002,"Blackman Charter Township, Precinct 2",,43,142,71,3,1,2460,626,0,0,260,25.45
750876000003,"Blackman Charter Township, Precinct 3",,67,128,89,2,0,2965,634,0,0,286,21.38
750876000004,"Blackman Charter Township, Precinct 4",,35,72,42,1,4,2951,451,0,0,154,15.28
750876000005,"Blackman Charter Township, Precinct 5",,24,83,67,6,0,2751,439,0,0,180,15.96
750876000006,"Blackman Charter Township, Precinct 6",,56,176,94,6,0,2333,719,0,0,332,30.82
751740000001,"Columbia Charter Township, Precinct 1",,55,169,103,5,0,2409,696,0,0,332,28.89
751740000002,"Columbia Charter Township, Precinct 2",,28,146,102,4,0,1733,547,0,0,280,31.56
751740000003,"Columbia Charter Township, Precinct 3",,56,213,176,11,0,2607,893,0,0,456,34.25
751776000001,"Concord Township, Precinct 1",,31,183,127,5,1,2318,601,0,0,347,25.93
753450000001,"Grass Lake Charter Township, Precinct 1",,49,166,144,3,0,2331,722,0,0,362,30.97
753450000002,"Grass Lake Charter Township, Precinct 2",,54,239,161,8,0,3058,1028,0,0,462,33.62
753640000001,"Hanover Township, Precinct 1",,21,136,70,0,0,1340,416,0,0,227,31.04
753640000002,"Hanover Township, Precinct 2",,30,129,90,3,0,1760,408,0,0,252,23.18
753770000001,"Henrietta Township, Precinct 1",,52,148,72,4,1,1832,573,0,0,277,31.28
753770000002,"Henrietta Township, Precinct 2",,48,138,114,6,0,2205,562,0,0,306,25.49
754698000001,"Leoni Township, Precinct 1",,65,159,156,1,1,2799,756,0,0,382,27.01
754698000002,"Leoni Township, Precinct 2",,62,159,120,6,2,3100,682,0,0,349,22.0
754698000003,"Leoni Township, Precinct 3",,60,146,103,4,0,2760,691,0,0,313,25.04
754698000004,"Leoni Township, Precinct 4",,50,178,146,13,1,2929,815,0,0,388,27.83
754736000001,"Liberty Township, Precinct 1",,75,243,174,6,2,2727,862,0,0,500,31.61
755664000001,"Napoleon Township, Precinct 1",,63,219,154,7,1,3009,803,0,0,444,26.69
755664000002,"Napoleon Township, Precinct 2",,64,190,129,3,1,2881,773,0,0,387,26.83
755918000001,"Norvell Township, Precinct 1",,20,109,66,2,2,1157,383,0,0,199,33.1
755918000002,"Norvell Township, Precinct 2",,42,119,89,1,1,1415,466,0,0,252,32.93
756276000001,"Parma Township, Precinct 1",,47,112,86,4,1,2278,501,0,0,250,21.99
756644000001,"Pulaski Township, Precinct 1",,31,129,70,5,0,1530,355,0,0,235,23.2
756892000001,"Rives Township, Precinct 1",,45,163,124,12,2,2346,593,0,0,346,25.28
756892000002,"Rives Township, Precinct 2",,57,177,108,13,1,1694,588,0,0,356,34.71
757150000001,"Sandstone Charter Township, Precinct 1",,29,117,95,2,1,1420,423,0,0,244,29.79
757150000002,"Sandstone Charter Township, Precinct 2",,27,102,73,2,0,990,321,0,0,204,32.42
757150000003,"Sandstone Charter Township, Precinct 3",,8,66,32,2,2,959,230,0,0,110,23.98
757564000001,"Spring Arbor Township, Precinct 1",,39,147,65,2,0,1480,470,0,0,253,31.76
757564000002,"Spring Arbor Township, Precinct 2",,40,195,120,7,0,2414,697,0,0,362,28.87
757564000003,"Spring Arbor Township, Precinct 3",,36,183,73,4,0,2217,560,0,0,296,25.26
757588000001,"Springport Township, Precinct 1",,23,116,90,2,1,1745,383,0,0,232,21.95
757720000001,"Summit Township, Precinct 1",,26,98,67,2,0,2455,530,0,0,193,21.59
757720000002,"Summit Township, Precinct 2",,92,278,117,7,0,2609,1069,0,0,494,40.97
757720000003,"Summit Township, Precinct 3",,72,175,90,2,0,2223,794,0,0,339,35.72
757720000004,"Summit Township, Precinct 4",,62,222,116,2,0,2242,882,0,0,402,39.34
757720000005,"Summit Township, Precinct 5",,45,225,138,5,1,2123,832,0,0,414,39.19
757720000006,"Summit Township, Precinct 6",,42,149,70,3,0,1534,562,0,0,264,36.64
757720000007,"Summit Township, Precinct 7",,69,190,124,9,0,3153,807,0,0,392,25.59
757720000008,"Summit Township, Precinct 8",,35,153,101,7,1,2973,648,0,0,297,21.8
757998000001,"Tompkins Township, Precinct 1",,29,150,120,2,3,2203,547,0,0,304,24.83
758430000001,"Waterloo Township, Precinct 1",,55,179,111,4,0,2499,765,0,0,349,30.61
