id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
412636000001,"City of Escanaba, Precinct 1",156,188,17,1
412636000002,"City of Escanaba, Precinct 2",218,194,23,1
412636000003,"City of Escanaba, Precinct 3",218,172,39,2
412636000004,"City of Escanaba, Precinct 4",125,71,8,0
413230000001,"City of Gladstone, Precinct 1",159,158,14,0
413230000002,"City of Gladstone, Precinct 2",167,114,19,2
410490000001,"Baldwin Township, Precinct 1",41,17,8,0
410542000001,"Bark River Township, Precinct 1",60,46,3,0
410604000001,"Bay de Noc Township, Precinct 1",29,17,8,0
410998000001,"Brampton Township, Precinct 1",82,51,1,0
411828000001,"Cornell Township, Precinct 1",34,20,4,0
412614000001,"Ensign Township, Precinct 1",72,33,1,0
412638000001,"Escanaba Township, Precinct 1",128,91,9,0
412638000002,"Escanaba Township, Precinct 2",75,71,15,0
412696000001,"Fairbanks Township, Precinct 1",32,9,4,1
412938000001,"Ford River Township, Precinct 1",150,99,15,0
413140000001,"Garden Township, Precinct 1",57,46,11,0
415126000001,"Maple Ridge Township, Precinct 1",39,24,3,0
415222000001,"Masonville Township, Precinct 1",100,69,8,0
415650000001,"Nahma Township, Precinct 1",24,19,4,0
418524000001,"Wells Township, Precinct 1",283,200,41,0
