id,name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
412636000001,"City of Escanaba, Precinct 1",133,14,38,1
412636000002,"City of Escanaba, Precinct 2",168,24,43,0
412636000003,"City of Escanaba, Precinct 3",140,19,38,1
412636000004,"City of Escanaba, Precinct 4",84,11,23,1
413230000001,"City of Gladstone, Precinct 1",117,20,25,0
413230000002,"City of Gladstone, Precinct 2",160,28,38,0
410490000001,"Baldwin Township, Precinct 1",121,26,17,0
410542000001,"Bark River Township, Precinct 1",189,30,63,0
410604000001,"Bay de Noc Township, Precinct 1",60,8,8,0
410998000001,"Brampton Township, Precinct 1",148,34,28,0
411828000001,"Cornell Township, Precinct 1",62,19,17,0
412614000001,"Ensign Township, Precinct 1",128,24,24,0
412638000001,"Escanaba Township, Precinct 1",209,51,31,1
412638000002,"Escanaba Township, Precinct 2",115,20,19,0
412696000001,"Fairbanks Township, Precinct 1",65,4,7,0
412938000001,"Ford River Township, Precinct 1",136,29,64,1
413140000001,"Garden Township, Precinct 1",108,12,13,0
415126000001,"Maple Ridge Township, Precinct 1",121,17,22,0
415222000001,"Masonville Township, Precinct 1",240,29,31,1
415650000001,"Nahma Township, Precinct 1",78,15,10,0
418524000001,"Wells Township, Precinct 1",333,41,97,1
