id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
412636000001,"City of Escanaba, Precinct 1",58,103,7,1
412636000002,"City of Escanaba, Precinct 2",55,78,7,1
412636000003,"City of Escanaba, Precinct 3",78,79,7,2
412636000004,"City of Escanaba, Precinct 4",34,38,3,0
413230000001,"City of Gladstone, Precinct 1",58,83,5,0
413230000002,"City of Gladstone, Precinct 2",61,45,4,1
410490000001,"Baldwin Township, Precinct 1",41,17,8,0
410542000001,"Bark River Township, Precinct 1",60,44,3,0
410604000001,"Bay de Noc Township, Precinct 1",29,16,8,0
410998000001,"Brampton Township, Precinct 1",82,49,1,0
411828000001,"Cornell Township, Precinct 1",34,19,4,0
412614000001,"Ensign Township, Precinct 1",72,33,1,0
412638000001,"Escanaba Township, Precinct 1",31,37,3,0
412638000002,"Escanaba Township, Precinct 2",22,25,7,0
412696000001,"Fairbanks Township, Precinct 1",32,9,4,1
412938000001,"Ford River Township, Precinct 1",54,46,3,0
413140000001,"Garden Township, Precinct 1",57,46,11,0
415126000001,"Maple Ridge Township, Precinct 1",39,24,3,0
415222000001,"Masonville Township, Precinct 1",94,67,8,0
415650000001,"Nahma Township, Precinct 1",24,19,4,0
418524000001,"Wells Township, Precinct 1",81,83,10,0
