id,name,Tim Walberg,Write-in
1491194000001,"Burr Oak Township, Precinct 1",275,0
1491737000001,"Colon Township, Precinct 1",390,2
1491786000001,"Constantine Township, Precinct 1",224,2
1491786000002,"Constantine Township, Precinct 2",119,0
1492692000001,"Fabius Township, Precinct 1",495,1
1492754000001,"Fawn River Township, Precinct 1",149,1
1492906000001,"Florence Township, Precinct 1",149,1
1492914000001,"Flowerfield Township, Precinct 1",249,0
1494702000001,"Leonidas Township, Precinct 1",150,1
1494906000001,"Lockport Township, Precinct 1",218,2
1495300000001,"Mendon Township, Precinct 1",397,2
1495578000001,"Mottville Township, Precinct 1",159,1
1495940000001,"Nottawa Township, Precinct 1",238,3
1496248000001,"Park Township, Precinct 1",338,0
1497330000001,"Sherman Township, Precinct 1",469,5
1497698000001,"Sturgis Township, Precinct 1",216,0
1498694000001,"White Pigeon Township, Precinct 1",250,1
1497696000001,"City of Sturgis, Precinct 1",150,0
1497696000002,"City of Sturgis, Precinct 2",60,0
1497696000003,"City of Sturgis, Precinct 3",66,0
1497696000004,"City of Sturgis, Precinct 4",106,1
1497976000001,"City of Three Rivers, Precinct 1",156,2
1497976000002,"City of Three Rivers, Precinct 2",125,0
