id,name,Tim Walberg,Write-in
1491194000001,"Burr Oak Township, Precinct 1",285,0
1491737000001,"Colon Township, Precinct 1",401,2
1491786000001,"Constantine Township, Precinct 1",235,2
1491786000002,"Constantine Township, Precinct 2",121,0
1492692000001,"Fabius Township, Precinct 1",503,1
1492754000001,"Fawn River Township, Precinct 1",152,1
1492906000001,"Florence Township, Precinct 1",161,1
1492914000001,"Flowerfield Township, Precinct 1",257,0
1494702000001,"Leonidas Township, Precinct 1",151,1
1494906000001,"Lockport Township, Precinct 1",442,3
1495300000001,"Mendon Township, Precinct 1",406,2
1495578000001,"Mottville Township, Precinct 1",163,1
1495940000001,"Nottawa Township, Precinct 1",437,3
1496248000001,"Park Township, Precinct 1",349,0
1497330000001,"Sherman Township, Precinct 1",497,5
1497698000001,"Sturgis Township, Precinct 1",219,0
1498694000001,"White Pigeon Township, Precinct 1",456,3
1497696000001,"City of Sturgis, Precinct 1",268,2
1497696000002,"City of Sturgis, Precinct 2",90,0
1497696000003,"City of Sturgis, Precinct 3",112,0
1497696000004,"City of Sturgis, Precinct 4",182,1
1497976000001,"City of Three Rivers, Precinct 1",260,3
1497976000002,"City of Three Rivers, Precinct 2",209,1
