id,name,Tim Walberg,Write-in
1154970000001,"City of Luna Pier, Precinct 1",113,0
1155502000001,"City of Monroe, Precinct 1",62,0
1155502000002,"City of Monroe, Precinct 2",71,1
,"City of Monroe, Precinct 3N",41,0
,"City of Monroe, Precinct 3S",22,0
1155502000004,"City of Monroe, Precinct 4",125,0
1155502000005,"City of Monroe, Precinct 5",124,3
1155502000006,"City of Monroe, Precinct 6",116,0
1156380000001,"City of Petersburg, Precinct 1",79,0
1150368000001,"Ash Township, Precinct 1",102,1
1150368000002,"Ash Township, Precinct 2",153,0
1150368000003,"Ash Township, Precinct 3",129,1
1150674000001,"Bedford Township, Precinct 1",61,0
1150674000002,"Bedford Township, Precinct 2",128,0
1150674000003,"Bedford Township, Precinct 3",121,0
1150674000004,"Bedford Township, Precinct 4",109,0
1150674000005,"Bedford Township, Precinct 5",86,0
1150674000006,"Bedford Township, Precinct 6",148,1
1150674000007,"Bedford Township, Precinct 7",115,0
1150674000008,"Bedford Township, Precinct 8",131,0
1150674000009,"Bedford Township, Precinct 9",90,1
1150674000010,"Bedford Township, Precinct 10",76,0
1150674000011,"Bedford Township, Precinct 11",123,0
1150674000012,"Bedford Township, Precinct 12",98,0
1150674000013,"Bedford Township, Precinct 13",114,1
1150674000014,"Bedford Township, Precinct 14",63,0
1150772000001,"Berlin Township, Precinct 1",121,0
1150772000002,"Berlin Township, Precinct 2",148,0
1150772000003,"Berlin Township, Precinct 3",126,1
1150772000004,"Berlin Township, Precinct 4",191,1
1152340000001,"Dundee Township, Precinct 1",133,1
1152340000002,"Dundee Township, Precinct 2",232,0
1152340000003,"Dundee Township, Precinct 3",314,2
1152632000001,"Erie Township, Precinct 1",210,0
1152688000001,"Exeter Township, Precinct 1",262,0
1152688000002,"Exeter Township, Precinct 2",257,0
1153082000001,"Frenchtown Township, Precinct 1",62,0
1153082000002,"Frenchtown Township, Precinct 2",93,0
1153082000003,"Frenchtown Township, Precinct 3",136,1
1153082000004,"Frenchtown Township, Precinct 4",67,0
1153082000005,"Frenchtown Township, Precinct 5",53,0
1153082000006,"Frenchtown Township, Precinct 6",148,0
1153082000007,"Frenchtown Township, Precinct 7",109,2
1153082000008,"Frenchtown Township, Precinct 8",113,0
1153082000009,"Frenchtown Township, Precinct 9",71,0
1154026000001,"Ida Township, Precinct 1",173,0
1154026000002,"Ida Township, Precinct 2",137,1
1154626000001,"La Salle Township, Precinct 1",145,1
1154626000002,"La Salle Township, Precinct 2",151,0
1154918000001,"London Township, Precinct 1",313,1
1155390000001,"Milan Township, Precinct 1",192,1
1155504000001,"Monroe Charter Township, Precinct 1",72,0
1155504000002,"Monroe Charter Township, Precinct 2",35,1
1155504000003,"Monroe Charter Township, Precinct 3",85,1
1155504000004,"Monroe Charter Township, Precinct 4",97,0
1155504000005,"Monroe Charter Township, Precinct 5",157,0
1155504000006,"Monroe Charter Township, Precinct 6",89,0
1156690000001,"Raisinville Township, Precinct 1",177,1
1156690000002,"Raisinville Township, Precinct 2",153,0
1157714000001,"Summerfield Township, Precinct 1",159,1
1158674000001,"Whiteford Township, Precinct 1",122,1
1158674000002,"Whiteford Township, Precinct 2",134,0
