id,name,Tim Walberg,Write-in
1154970000001,"City of Luna Pier, Precinct 1",114,0
1155502000001,"City of Monroe, Precinct 1",190,0
1155502000002,"City of Monroe, Precinct 2",135,1
,"City of Monroe, Precinct 3N",71,0
,"City of Monroe, Precinct 3S",52,0
1155502000004,"City of Monroe, Precinct 4",278,1
1155502000005,"City of Monroe, Precinct 5",296,3
1155502000006,"City of Monroe, Precinct 6",264,0
1156380000001,"City of Petersburg, Precinct 1",90,0
1150368000001,"Ash Township, Precinct 1",286,4
1150368000002,"Ash Township, Precinct 2",436,0
1150368000003,"Ash Township, Precinct 3",323,1
1150674000001,"Bedford Township, Precinct 1",118,0
1150674000002,"Bedford Township, Precinct 2",241,0
1150674000003,"Bedford Township, Precinct 3",212,1
1150674000004,"Bedford Township, Precinct 4",270,1
1150674000005,"Bedford Township, Precinct 5",191,0
1150674000006,"Bedford Township, Precinct 6",291,1
1150674000007,"Bedford Township, Precinct 7",240,1
1150674000008,"Bedford Township, Precinct 8",289,0
1150674000009,"Bedford Township, Precinct 9",177,1
1150674000010,"Bedford Township, Precinct 10",144,0
1150674000011,"Bedford Township, Precinct 11",259,0
1150674000012,"Bedford Township, Precinct 12",214,0
1150674000013,"Bedford Township, Precinct 13",222,1
1150674000014,"Bedford Township, Precinct 14",130,1
1150772000001,"Berlin Township, Precinct 1",217,0
1150772000002,"Berlin Township, Precinct 2",337,0
1150772000003,"Berlin Township, Precinct 3",243,1
1150772000004,"Berlin Township, Precinct 4",342,1
1152340000001,"Dundee Township, Precinct 1",135,1
1152340000002,"Dundee Township, Precinct 2",242,0
1152340000003,"Dundee Township, Precinct 3",326,2
1152632000001,"Erie Township, Precinct 1",452,0
1152688000001,"Exeter Township, Precinct 1",265,0
1152688000002,"Exeter Township, Precinct 2",266,0
1153082000001,"Frenchtown Township, Precinct 1",149,0
1153082000002,"Frenchtown Township, Precinct 2",179,0
1153082000003,"Frenchtown Township, Precinct 3",257,1
1153082000004,"Frenchtown Township, Precinct 4",273,1
1153082000005,"Frenchtown Township, Precinct 5",133,0
1153082000006,"Frenchtown Township, Precinct 6",284,1
1153082000007,"Frenchtown Township, Precinct 7",354,3
1153082000008,"Frenchtown Township, Precinct 8",221,1
1153082000009,"Frenchtown Township, Precinct 9",177,0
1154026000001,"Ida Township, Precinct 1",326,0
1154026000002,"Ida Township, Precinct 2",275,1
1154626000001,"La Salle Township, Precinct 1",272,1
1154626000002,"La Salle Township, Precinct 2",346,1
1154918000001,"London Township, Precinct 1",338,1
1155390000001,"Milan Township, Precinct 1",193,1
1155504000001,"Monroe Charter Township, Precinct 1",165,1
1155504000002,"Monroe Charter Township, Precinct 2",85,4
1155504000003,"Monroe Charter Township, Precinct 3",184,1
1155504000004,"Monroe Charter Township, Precinct 4",222,1
1155504000005,"Monroe Charter Township, Precinct 5",386,0
1155504000006,"Monroe Charter Township, Precinct 6",277,0
1156690000001,"Raisinville Township, Precinct 1",482,2
1156690000002,"Raisinville Township, Precinct 2",401,0
1157714000001,"Summerfield Township, Precinct 1",355,2
1158674000001,"Whiteford Township, Precinct 1",258,1
1158674000002,"Whiteford Township, Precinct 2",262,2
