id,name,Tim Walberg,Write-in
1154970000001,"City of Luna Pier, Precinct 1",0,0
1155502000001,"City of Monroe, Precinct 1",119,0
1155502000002,"City of Monroe, Precinct 2",56,0
,"City of Monroe, Precinct 3N",28,0
,"City of Monroe, Precinct 3S",27,0
1155502000004,"City of Monroe, Precinct 4",139,1
1155502000005,"City of Monroe, Precinct 5",155,0
1155502000006,"City of Monroe, Precinct 6",135,0
1156380000001,"City of Petersburg, Precinct 1",0,0
1150368000001,"Ash Township, Precinct 1",174,3
1150368000002,"Ash Township, Precinct 2",251,0
1150368000003,"Ash Township, Precinct 3",182,0
1150674000001,"Bedford Township, Precinct 1",55,0
1150674000002,"Bedford Township, Precinct 2",104,0
1150674000003,"Bedford Township, Precinct 3",81,0
1150674000004,"Bedford Township, Precinct 4",143,1
1150674000005,"Bedford Township, Precinct 5",97,0
1150674000006,"Bedford Township, Precinct 6",130,0
1150674000007,"Bedford Township, Precinct 7",117,1
1150674000008,"Bedford Township, Precinct 8",151,0
1150674000009,"Bedford Township, Precinct 9",82,0
1150674000010,"Bedford Township, Precinct 10",58,0
1150674000011,"Bedford Township, Precinct 11",125,0
1150674000012,"Bedford Township, Precinct 12",112,0
1150674000013,"Bedford Township, Precinct 13",96,0
1150674000014,"Bedford Township, Precinct 14",64,1
1150772000001,"Berlin Township, Precinct 1",77,0
1150772000002,"Berlin Township, Precinct 2",173,0
1150772000003,"Berlin Township, Precinct 3",103,0
1150772000004,"Berlin Township, Precinct 4",128,0
1152340000001,"Dundee Township, Precinct 1",0,0
1152340000002,"Dundee Township, Precinct 2",0,0
1152340000003,"Dundee Township, Precinct 3",0,0
1152632000001,"Erie Township, Precinct 1",220,0
1152688000001,"Exeter Township, Precinct 1",0,0
1152688000002,"Exeter Township, Precinct 2",0,0
1153082000001,"Frenchtown Township, Precinct 1",85,0
1153082000002,"Frenchtown Township, Precinct 2",80,0
1153082000003,"Frenchtown Township, Precinct 3",109,0
1153082000004,"Frenchtown Township, Precinct 4",193,1
1153082000005,"Frenchtown Township, Precinct 5",72,0
1153082000006,"Frenchtown Township, Precinct 6",118,0
1153082000007,"Frenchtown Township, Precinct 7",228,1
1153082000008,"Frenchtown Township, Precinct 8",101,1
1153082000009,"Frenchtown Township, Precinct 9",94,0
1154026000001,"Ida Township, Precinct 1",136,0
1154026000002,"Ida Township, Precinct 2",127,0
1154626000001,"La Salle Township, Precinct 1",111,0
1154626000002,"La Salle Township, Precinct 2",174,1
1154918000001,"London Township, Precinct 1",0,0
1155390000001,"Milan Township, Precinct 1",0,0
1155504000001,"Monroe Charter Township, Precinct 1",87,1
1155504000002,"Monroe Charter Township, Precinct 2",45,3
1155504000003,"Monroe Charter Township, Precinct 3",93,0
1155504000004,"Monroe Charter Township, Precinct 4",116,1
1155504000005,"Monroe Charter Township, Precinct 5",208,0
1155504000006,"Monroe Charter Township, Precinct 6",178,0
1156690000001,"Raisinville Township, Precinct 1",284,1
1156690000002,"Raisinville Township, Precinct 2",232,0
1157714000001,"Summerfield Township, Precinct 1",183,1
1158674000001,"Whiteford Township, Precinct 1",104,0
1158674000002,"Whiteford Township, Precinct 2",102,2
