id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in,Justin Blackburn
1154970000001,"City of Luna Pier, Precinct 1",126,13,1,0
1155502000001,"City of Monroe, Precinct 1",76,25,1,0
1155502000002,"City of Monroe, Precinct 2",84,15,2,0
,"City of Monroe, Precinct 3N",49,15,2,0
,"City of Monroe, Precinct 3S",45,11,0,0
1155502000004,"City of Monroe, Precinct 4",121,41,2,0
1155502000005,"City of Monroe, Precinct 5",107,22,2,0
1155502000006,"City of Monroe, Precinct 6",104,28,0,0
1156380000001,"City of Petersburg, Precinct 1",60,33,2,0
1150368000001,"Ash Township, Precinct 1",57,16,0,0
1150368000002,"Ash Township, Precinct 2",61,21,1,0
1150368000003,"Ash Township, Precinct 3",50,18,0,0
1150674000001,"Bedford Township, Precinct 1",19,9,0,0
1150674000002,"Bedford Township, Precinct 2",70,25,1,0
1150674000003,"Bedford Township, Precinct 3",58,21,0,0
1150674000004,"Bedford Township, Precinct 4",84,22,0,0
1150674000005,"Bedford Township, Precinct 5",85,14,0,0
1150674000006,"Bedford Township, Precinct 6",114,32,0,0
1150674000007,"Bedford Township, Precinct 7",69,13,0,0
1150674000008,"Bedford Township, Precinct 8",79,17,2,0
1150674000009,"Bedford Township, Precinct 9",53,10,0,0
1150674000010,"Bedford Township, Precinct 10",46,9,1,0
1150674000011,"Bedford Township, Precinct 11",60,20,0,0
1150674000012,"Bedford Township, Precinct 12",67,21,1,0
1150674000013,"Bedford Township, Precinct 13",78,20,0,0
1150674000014,"Bedford Township, Precinct 14",58,16,0,0
1150772000001,"Berlin Township, Precinct 1",64,25,0,0
1150772000002,"Berlin Township, Precinct 2",62,17,1,0
1150772000003,"Berlin Township, Precinct 3",65,21,0,0
1150772000004,"Berlin Township, Precinct 4",69,40,1,0
1152340000001,"Dundee Township, Precinct 1",166,45,1,0
1152340000002,"Dundee Township, Precinct 2",240,53,3,0
1152340000003,"Dundee Township, Precinct 3",267,70,0,0
1152632000001,"Erie Township, Precinct 1",75,36,0,0
1152688000001,"Exeter Township, Precinct 1",158,22,0,0
1152688000002,"Exeter Township, Precinct 2",209,38,1,0
1153082000001,"Frenchtown Township, Precinct 1",25,12,0,0
1153082000002,"Frenchtown Township, Precinct 2",46,12,0,0
1153082000003,"Frenchtown Township, Precinct 3",35,13,0,0
1153082000004,"Frenchtown Township, Precinct 4",51,12,0,0
1153082000005,"Frenchtown Township, Precinct 5",41,24,0,0
1153082000006,"Frenchtown Township, Precinct 6",58,13,0,0
1153082000007,"Frenchtown Township, Precinct 7",77,14,0,0
1153082000008,"Frenchtown Township, Precinct 8",63,20,0,0
1153082000009,"Frenchtown Township, Precinct 9",59,31,0,0
1154026000001,"Ida Township, Precinct 1",61,28,0,0
1154026000002,"Ida Township, Precinct 2",63,12,0,0
1154626000001,"La Salle Township, Precinct 1",66,10,0,0
1154626000002,"La Salle Township, Precinct 2",73,14,0,0
1154918000001,"London Township, Precinct 1",230,51,2,0
1155390000001,"Milan Township, Precinct 1",161,38,0,0
1155504000001,"Monroe Charter Township, Precinct 1",47,16,0,0
1155504000002,"Monroe Charter Township, Precinct 2",52,14,0,0
1155504000003,"Monroe Charter Township, Precinct 3",40,8,1,0
1155504000004,"Monroe Charter Township, Precinct 4",73,18,1,0
1155504000005,"Monroe Charter Township, Precinct 5",78,23,0,0
1155504000006,"Monroe Charter Township, Precinct 6",57,13,0,0
1156690000001,"Raisinville Township, Precinct 1",44,18,0,0
1156690000002,"Raisinville Township, Precinct 2",91,16,0,0
1157714000001,"Summerfield Township, Precinct 1",144,18,0,0
1158674000001,"Whiteford Township, Precinct 1",60,9,1,0
1158674000002,"Whiteford Township, Precinct 2",37,7,0,0
