id,name,Christian Vukasovich,Write-in
1154970000001,"City of Luna Pier, Precinct 1",0,0
1155502000001,"City of Monroe, Precinct 1",183,0
1155502000002,"City of Monroe, Precinct 2",129,1
,"City of Monroe, Precinct 3N",74,1
,"City of Monroe, Precinct 3S",34,0
1155502000004,"City of Monroe, Precinct 4",234,0
1155502000005,"City of Monroe, Precinct 5",316,0
1155502000006,"City of Monroe, Precinct 6",167,0
1156380000001,"City of Petersburg, Precinct 1",0,0
1150368000001,"Ash Township, Precinct 1",152,0
1150368000002,"Ash Township, Precinct 2",195,3
1150368000003,"Ash Township, Precinct 3",126,1
1150674000001,"Bedford Township, Precinct 1",66,0
1150674000002,"Bedford Township, Precinct 2",125,0
1150674000003,"Bedford Township, Precinct 3",97,0
1150674000004,"Bedford Township, Precinct 4",174,0
1150674000005,"Bedford Township, Precinct 5",137,0
1150674000006,"Bedford Township, Precinct 6",191,0
1150674000007,"Bedford Township, Precinct 7",158,0
1150674000008,"Bedford Township, Precinct 8",168,0
1150674000009,"Bedford Township, Precinct 9",104,0
1150674000010,"Bedford Township, Precinct 10",88,2
1150674000011,"Bedford Township, Precinct 11",141,1
1150674000012,"Bedford Township, Precinct 12",155,2
1150674000013,"Bedford Township, Precinct 13",125,0
1150674000014,"Bedford Township, Precinct 14",112,0
1150772000001,"Berlin Township, Precinct 1",113,1
1150772000002,"Berlin Township, Precinct 2",169,2
1150772000003,"Berlin Township, Precinct 3",103,0
1150772000004,"Berlin Township, Precinct 4",148,1
1152340000001,"Dundee Township, Precinct 1",0,0
1152340000002,"Dundee Township, Precinct 2",0,0
1152340000003,"Dundee Township, Precinct 3",0,0
1152632000001,"Erie Township, Precinct 1",219,1
1152688000001,"Exeter Township, Precinct 1",0,0
1152688000002,"Exeter Township, Precinct 2",0,0
1153082000001,"Frenchtown Township, Precinct 1",75,0
1153082000002,"Frenchtown Township, Precinct 2",90,1
1153082000003,"Frenchtown Township, Precinct 3",100,0
1153082000004,"Frenchtown Township, Precinct 4",185,1
1153082000005,"Frenchtown Township, Precinct 5",94,3
1153082000006,"Frenchtown Township, Precinct 6",147,2
1153082000007,"Frenchtown Township, Precinct 7",207,1
1153082000008,"Frenchtown Township, Precinct 8",94,1
1153082000009,"Frenchtown Township, Precinct 9",126,2
1154026000001,"Ida Township, Precinct 1",99,0
1154026000002,"Ida Township, Precinct 2",109,0
1154626000001,"La Salle Township, Precinct 1",100,0
1154626000002,"La Salle Township, Precinct 2",169,0
1154918000001,"London Township, Precinct 1",0,0
1155390000001,"Milan Township, Precinct 1",0,0
1155504000001,"Monroe Charter Township, Precinct 1",140,1
1155504000002,"Monroe Charter Township, Precinct 2",66,0
1155504000003,"Monroe Charter Township, Precinct 3",98,0
1155504000004,"Monroe Charter Township, Precinct 4",140,0
1155504000005,"Monroe Charter Township, Precinct 5",183,2
1155504000006,"Monroe Charter Township, Precinct 6",110,0
1156690000001,"Raisinville Township, Precinct 1",176,1
1156690000002,"Raisinville Township, Precinct 2",231,0
1157714000001,"Summerfield Township, Precinct 1",71,1
1158674000001,"Whiteford Township, Precinct 1",100,0
1158674000002,"Whiteford Township, Precinct 2",54,0
