id,name,Christian Vukasovich,Write-in
1154970000001,"City of Luna Pier, Precinct 1",121,2
1155502000001,"City of Monroe, Precinct 1",88,0
1155502000002,"City of Monroe, Precinct 2",89,1
,"City of Monroe, Precinct 3N",57,2
,"City of Monroe, Precinct 3S",50,1
1155502000004,"City of Monroe, Precinct 4",131,4
1155502000005,"City of Monroe, Precinct 5",114,1
1155502000006,"City of Monroe, Precinct 6",111,0
1156380000001,"City of Petersburg, Precinct 1",81,2
1150368000001,"Ash Township, Precinct 1",55,0
1150368000002,"Ash Township, Precinct 2",66,0
1150368000003,"Ash Township, Precinct 3",53,1
1150674000001,"Bedford Township, Precinct 1",23,0
1150674000002,"Bedford Township, Precinct 2",86,0
1150674000003,"Bedford Township, Precinct 3",72,0
1150674000004,"Bedford Township, Precinct 4",93,2
1150674000005,"Bedford Township, Precinct 5",93,0
1150674000006,"Bedford Township, Precinct 6",123,2
1150674000007,"Bedford Township, Precinct 7",65,0
1150674000008,"Bedford Township, Precinct 8",82,0
1150674000009,"Bedford Township, Precinct 9",56,1
1150674000010,"Bedford Township, Precinct 10",46,1
1150674000011,"Bedford Township, Precinct 11",72,0
1150674000012,"Bedford Township, Precinct 12",74,0
1150674000013,"Bedford Township, Precinct 13",84,0
1150674000014,"Bedford Township, Precinct 14",64,1
1150772000001,"Berlin Township, Precinct 1",80,0
1150772000002,"Berlin Township, Precinct 2",62,0
1150772000003,"Berlin Township, Precinct 3",71,0
1150772000004,"Berlin Township, Precinct 4",98,1
1152340000001,"Dundee Township, Precinct 1",194,0
1152340000002,"Dundee Township, Precinct 2",259,3
1152340000003,"Dundee Township, Precinct 3",303,2
1152632000001,"Erie Township, Precinct 1",97,1
1152688000001,"Exeter Township, Precinct 1",144,1
1152688000002,"Exeter Township, Precinct 2",215,3
1153082000001,"Frenchtown Township, Precinct 1",28,0
1153082000002,"Frenchtown Township, Precinct 2",45,1
1153082000003,"Frenchtown Township, Precinct 3",43,0
1153082000004,"Frenchtown Township, Precinct 4",50,0
1153082000005,"Frenchtown Township, Precinct 5",59,1
1153082000006,"Frenchtown Township, Precinct 6",60,0
1153082000007,"Frenchtown Township, Precinct 7",79,0
1153082000008,"Frenchtown Township, Precinct 8",74,0
1153082000009,"Frenchtown Township, Precinct 9",77,3
1154026000001,"Ida Township, Precinct 1",75,0
1154026000002,"Ida Township, Precinct 2",68,0
1154626000001,"La Salle Township, Precinct 1",62,0
1154626000002,"La Salle Township, Precinct 2",76,0
1154918000001,"London Township, Precinct 1",251,4
1155390000001,"Milan Township, Precinct 1",173,0
1155504000001,"Monroe Charter Township, Precinct 1",57,1
1155504000002,"Monroe Charter Township, Precinct 2",55,1
1155504000003,"Monroe Charter Township, Precinct 3",36,2
1155504000004,"Monroe Charter Township, Precinct 4",83,2
1155504000005,"Monroe Charter Township, Precinct 5",82,1
1155504000006,"Monroe Charter Township, Precinct 6",63,0
1156690000001,"Raisinville Township, Precinct 1",56,1
1156690000002,"Raisinville Township, Precinct 2",87,0
1157714000001,"Summerfield Township, Precinct 1",147,0
1158674000001,"Whiteford Township, Precinct 1",55,2
1158674000002,"Whiteford Township, Precinct 2",37,1
