name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
"Aetna Township, Precinct 1",7,6,0,0
"Bloomfield Township, Precinct 1",26,16,5,0
"Butterfield Township, Precinct 1",28,12,1,0
"Caldwell Township, Precinct 1",39,24,6,0
"Clam Union Township, Precinct 1",12,11,4,0
"Enterprise Township, Precinct 1",9,4,0,0
"Forest Township, Precinct 1",42,18,9,0
"Holland Township, Precinct 1",14,1,3,0
"Lake Township, Precinct 1",150,81,22,0
"Norwich Township, Precinct 1",15,12,7,0
"Pioneer Township, Precinct 1",18,5,5,0
"Reeder Township, Precinct 1",54,18,10,0
"Richland Township, Precinct 1",39,6,6,0
"Riverside Township, Precinct 1",17,9,0,0
"West Branch Township, Precinct 1",19,3,2,0
"Lake City, Precinct 1",52,22,6,0
"McBain, Precinct 1",17,3,0,0
"Missaukee EV, Precinct 1",34,18,4,0
