name,Jocelyn Benson,Christopher Robert Swanson,Write-in
"Aetna Township, Precinct 1",11,2,0
"Bloomfield Township, Precinct 1",35,16,0
"Butterfield Township, Precinct 1",37,8,0
"Caldwell Township, Precinct 1",48,20,0
"Clam Union Township, Precinct 1",24,3,0
"Enterprise Township, Precinct 1",10,4,0
"Forest Township, Precinct 1",66,12,0
"Holland Township, Precinct 1",15,1,0
"Lake Township, Precinct 1",213,49,0
"Norwich Township, Precinct 1",26,12,0
"Pioneer Township, Precinct 1",22,8,0
"Reeder Township, Precinct 1",73,12,0
"Richland Township, Precinct 1",46,9,0
"Riverside Township, Precinct 1",24,5,0
"West Branch Township, Precinct 1",23,3,0
"Lake City, Precinct 1",79,9,0
"McBain, Precinct 1",19,2,0
"Missaukee EV, Precinct 1",48,8,0
