name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"Aetna Township, Precinct 1",8,23,40,0,0
"Bloomfield Township, Precinct 1",11,40,56,3,0
"Butterfield Township, Precinct 1",16,32,47,5,0
"Caldwell Township, Precinct 1",23,110,78,1,0
"Clam Union Township, Precinct 1",18,67,54,1,0
"Enterprise Township, Precinct 1",4,17,11,1,0
"Forest Township, Precinct 1",17,74,63,0,0
"Holland Township, Precinct 1",9,18,16,0,0
"Lake Township, Precinct 1",54,186,141,7,0
"Norwich Township, Precinct 1",23,48,49,2,0
"Pioneer Township, Precinct 1",6,27,35,1,0
"Reeder Township, Precinct 1",23,89,75,2,0
"Richland Township, Precinct 1",30,104,86,4,0
"Riverside Township, Precinct 1",17,94,63,4,0
"West Branch Township, Precinct 1",9,28,30,1,0
"Lake City, Precinct 1",20,61,53,0,0
"McBain, Precinct 1",12,49,39,3,0
"Missaukee EV, Precinct 1",8,42,34,0,0
