name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
"Aetna Township, Precinct 1",51,6,14,0
"Bloomfield Township, Precinct 1",66,9,29,0
"Butterfield Township, Precinct 1",65,14,18,0
"Caldwell Township, Precinct 1",160,27,26,0
"Clam Union Township, Precinct 1",110,14,14,0
"Enterprise Township, Precinct 1",15,12,6,0
"Forest Township, Precinct 1",101,19,30,0
"Holland Township, Precinct 1",36,3,5,0
"Lake Township, Precinct 1",246,46,90,0
"Norwich Township, Precinct 1",82,16,20,0
"Pioneer Township, Precinct 1",40,16,9,0
"Reeder Township, Precinct 1",120,25,39,0
"Richland Township, Precinct 1",165,16,41,0
"Riverside Township, Precinct 1",132,18,27,0
"West Branch Township, Precinct 1",43,8,16,0
"Lake City, Precinct 1",83,14,36,0
"McBain, Precinct 1",74,15,12,0
"Missaukee EV, Precinct 1",51,8,22,0
